"YearsSinceBurn","Compound","Concentration"
"178",11,"gamma.eudesmol",3.2
"179",11,"beta.eudesmol",4.8
"180",11,"alpha.eudesmol",1.6
"181",11,"cedr.8.en.13.ol",6.4
"182",11,"cedr.8.en.15.ol",1.6
"183",11,"compound.2",0.9
"184",11,"thujopsenal",1.8
"185",12,"alpha.pinene",0.1
"186",12,"para.cymene",0.2
"187",12,"alpha.terpineol",0.1
"188",12,"cedr.9.ene",0.9
"189",12,"alpha.cedrene",35.5
"190",12,"beta.cedrene",7.6
"191",12,"cis.thujopsene",15.9
"192",12,"alpha.himachalene",0.4
"193",12,"beta.chamigrene",1.4
"194",12,"cuparene",1.9
"195",12,"compound.1",2.7
"196",12,"alpha.chamigrene",1
"197",12,"widdrol",4.3
"198",12,"cedrol",16.4
"199",12,"beta.acorenol",0
"200",12,"alpha.acorenol",0
"201",12,"gamma.eudesmol",0.6
"202",12,"beta.eudesmol",0
"203",12,"alpha.eudesmol",0
"204",12,"cedr.8.en.13.ol",2.3
"205",12,"cedr.8.en.15.ol",0.8
"206",12,"compound.2",0.6
"207",12,"thujopsenal",0.7
"208",13,"alpha.pinene",0.1
"209",13,"para.cymene",0.3
"210",13,"alpha.terpineol",0.3
"211",13,"cedr.9.ene",0.8
"212",13,"alpha.cedrene",7.6
"213",13,"beta.cedrene",2.7
"214",13,"cis.thujopsene",28.7
"215",13,"alpha.himachalene",0.4
"216",13,"beta.chamigrene",0.9
"217",13,"cuparene",2.1
"218",13,"compound.1",1.7
"219",13,"alpha.chamigrene",0.5
"220",13,"widdrol",5.6
"221",13,"cedrol",19
"222",13,"beta.acorenol",1.7
"223",13,"alpha.acorenol",1.1
"224",13,"gamma.eudesmol",0
"225",13,"beta.eudesmol",1.1
"226",13,"alpha.eudesmol",0.5
"227",13,"cedr.8.en.13.ol",10
"228",13,"cedr.8.en.15.ol",2.3
"229",13,"compound.2",1
"230",13,"thujopsenal",3.1
"231",15,"alpha.pinene",1.9
"232",15,"para.cymene",0.7
"233",15,"alpha.terpineol",1.1
"234",15,"cedr.9.ene",1
"235",15,"alpha.cedrene",19.2
"236",15,"beta.cedrene",4.8
"237",15,"cis.thujopsene",15
"238",15,"alpha.himachalene",0.4
"239",15,"beta.chamigrene",1.3
"240",15,"cuparene",2
"241",15,"compound.1",2.9
"242",15,"alpha.chamigrene",1
"243",15,"widdrol",7.9
"244",15,"cedrol",15.7
"245",15,"beta.acorenol",0
"246",15,"alpha.acorenol",0
"247",15,"gamma.eudesmol",1.7
"248",15,"beta.eudesmol",1
"249",15,"alpha.eudesmol",0.5
"250",15,"cedr.8.en.13.ol",5.6
"251",15,"cedr.8.en.15.ol",1.1
"252",15,"compound.2",1.5
"253",15,"thujopsenal",1.5
"254",16,"alpha.pinene",0
"255",16,"para.cymene",2.2
"256",16,"alpha.terpineol",6.2
"257",16,"cedr.9.ene",0.9
"258",16,"alpha.cedrene",7.6
"259",16,"beta.cedrene",3
"260",16,"cis.thujopsene",34.9
"261",16,"alpha.himachalene",0.5
"262",16,"beta.chamigrene",0.9
